Record,Date,TIMEVALUE,Serial Time,Time Test,Temp (F),Temp (C ),dew_pt,hum,Wind Speed (mph),Wind Speed (m/s),Vh,Power Generation,KWH,Capacity Factor,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,Weather Condition,fog,rain,snow,hail,thunder,tornado,Condition
47,1/2/2016 22:51,10:51:00 PM,3660936660,1,36,2.22,19.9,52,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.99,28,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
48,1/2/2016 23:51,11:51:00 PM,3660940260,1,36,2.22,21.9,57,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.98,27.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
49,1/3/2016 0:51,12:51:00 AM,3660943860,1,36,2.22,21.9,57,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.96,27.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
50,1/3/2016 1:51,1:51:00 AM,3660947460,1,36,2.22,24.1,62,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,WSW,10,29.96,28,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
56,1/3/2016 7:51,7:51:00 AM,3660969060,1,39.9,4.39,27,60,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,29.87,32.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
57,1/3/2016 8:51,8:51:00 AM,3660972660,1,42.1,5.61,23,47,16.1,7.2,14.36,2000000,2000,1,NA,WSW,10,29.88,34.2,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
58,1/3/2016 9:51,9:51:00 AM,3660976260,1,45,7.22,23,42,17.3,7.73,15.43,2000000,2000,1,NA,WSW,10,29.88,37.6,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
59,1/3/2016 10:51,10:51:00 AM,3660979860,1,46.9,8.28,23,39,17.3,7.73,15.43,2000000,2000,1,NA,WSW,10,29.86,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
60,1/3/2016 11:51,11:51:00 AM,3660983460,1,48,8.89,21,34,20.7,9.25,18.46,2000000,2000,1,27.6,WSW,10,29.83,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
124,1/6/2016 3:51,3:51:00 AM,3661213860,1,25,-3.89,8.1,49,5.8,2.59,5.17,160252.99,160.25,0.08,NA,WSW,10,30.59,18.1,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
127,1/6/2016 6:51,6:51:00 AM,3661224660,1,26.1,-3.28,10.9,53,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.6,17.6,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
128,1/6/2016 7:51,7:51:00 AM,3661228260,1,26.1,-3.28,15.1,63,6.9,3.08,6.15,269817.08,269.82,0.13,NA,WSW,10,30.61,18.4,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
129,1/6/2016 8:51,8:51:00 AM,3661231860,1,30.9,-0.61,14,50,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.61,22.2,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
130,1/6/2016 9:51,9:51:00 AM,3661235460,1,33.1,0.61,10.9,40,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,WSW,10,30.61,23.9,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
132,1/6/2016 11:51,11:51:00 AM,3661242660,1,37,2.78,7,29,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.55,31,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
139,1/6/2016 18:51,6:51:00 PM,3661267860,1,37,2.78,12,36,10.4,4.65,9.28,923894.09,923.89,0.46,NA,WSW,10,30.46,29.8,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
142,1/6/2016 21:51,9:51:00 PM,3661278660,1,35.1,1.72,15.1,44,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.45,28.6,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
143,1/6/2016 22:51,10:51:00 PM,3661282260,1,33.1,0.61,19,56,8.1,3.62,7.22,436492.95,436.49,0.22,NA,WSW,10,30.44,26.1,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
146,1/7/2016 1:51,1:51:00 AM,3661293060,1,32,0,12.9,45,4.6,2.06,4.1,79945.8,79.95,0.04,NA,WSW,10,30.39,27.5,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
147,1/7/2016 2:51,2:51:00 AM,3661296660,1,28,-2.22,15.1,58,9.2,4.11,8.21,639566.42,639.57,0.32,NA,WSW,10,30.39,19.3,NA,NA,NA,NA,Clear,0,0,0,0,0,0,1
